ID,Question,Correct_Answer
121,SQL injection only involves inserting LDAP statements into user forms.,F
122,Broken Authentication functions include logout, timeouts, and password management.,T
123,Insufficient transport layer protection supports weak algorithms and expired certificates.,T
124,Most web applications run libraries and frameworks with minimum privileges.,F
125,Attackers often tamper with web application logs to hide their identities.,T
126,Burp Suite can find and exploit security vulnerabilities in web applications.,T
127,Session data should be submitted as part of a GET or POST request for security.,F
128,Setup roles and accounts should include disabling all default accounts.,T
129,Storing website files on the OS drive is a recommended security countermeasure.,F
130,DSSS spreads a signal over a wider frequency band to protect against interference.,T
131,IEEE 802.16 is also known as WiMax.,T
132,WEP is more secure than WPA2 because it uses a 24-bit IV.,F
133,AES is a symmetric-key encryption used in WPA2.,T
134,WPA3 uses GCMP-256 for encryption and HMAC-SHA-384 for authentication.,T
135,Bluetooth hacking refers to exploiting the physical layer hardware only.,F
136,Bluesmacking is a DoS attack that overflows devices with random packets.,T
137,Non-discoverable Bluetooth mode does not mean it is 100% immune to attacks.,T
138,Bluetooth should be kept in the enabled state at all times for maximum security.,F
139,SSID broadcasting is considered a misconfiguration that allows SSID theft.,T
140,Airmon-ng is used to capture WPA/WPA2 handshakes.,T
141,"Tactic refers to how an attacker carries out a goal, such as Phishing.",F
142,Fake WAP can be mapped to Network Sniffing (T1040) in MITRE ATT&CK.,T
143,SQL Injection usually occurs because a system fails to properly validate or filter user input.,T
144,Credential Reuse is mainly caused by system vulnerabilities and is unrelated to users choosing convenience.,F
145,MFA (Multi-Factor Authentication) is an effective mitigation against credential theft.,T
146,Browser Hijackers may enter a system through unsafe browser extensions.,T
147,An attacker must know the user's password to perform Session Hijacking.,F
148,Bait and Switch attacks are commonly associated with User Execution (T1204) in MITRE.,T
149,Using a VPN can help prevent traffic interception on public Wi-Fi networks.,T
150,Technique refers to the specific real-world operational steps performed by an attacker.,F
151,HTTPS helps protect data in transit and reduces the risk of Man-in-the-Middle attacks.,T
152,MITRE ATT&CK only contains attack matrices for Windows systems.,F
153,Credential Stuffing (T1110.004) refers to using leaked credentials to attempt logins across multiple services.,T
154,One way to prevent Browser Hijackers is to download browser extensions only from third-party software packages.,F
155,SQL Injection can be used to bypass login pages and read or delete database records.,T
156,Adversary-in-the-Middle describes an attacker positioning themselves between two communicating parties.,T
157,Initial Access is the first Tactic used by attackers to enter a network.,T
158,Airbase-ng is a tool specifically designed to repair SQL databases.,F
159,Network Sniffing refers to the capture of network traffic to obtain sensitive information.,T
160,"Understanding an attacker's Tactic (objective) helps analysts connect evidence to appropriate mitigations.",T
161,100 percent, ironclad security is easily attainable if you have a large budget.,F
162,You should obtain documented approval and a signature agreeing not to hold you liable for unintentional bad things.,T
163,Ethical hacking is a one-time event that does not need to be repeated.,F
164,"Penetration Testing evaluates procedural, operational, and technological controls.",T
165,Overt Penetration Testing is performed without the knowledge of the IT department.,F
166,Covert Penetration Testing most closely simulates a true adversarial attack.,T
167,The purpose of WHOIS is to exploit the target's database directly.,F
168,Password cracking and network analyzers should generally be removed from the final report to prevent abuse.,T
169,HIPAA compliance only requires organizations to perform tests once every ten years.,F
170,Mastery of Linux network interfaces is required before launching many security tools.,T
