題目,答案,選項A,選項B,選項C,選項D
"What is the most critical ""deadly mistake"" an ethical hacker can make before starting a test?",B,Not using Linux,Not getting prior approval in writing,Using free tools,Not knowing how to code
When obtaining documented approval, what must be included?,C,A list of all passwords,The hacker's home address,"The plan, schedule, and systems to test",A guarantee to find all vulnerabilities
Is it possible to find all vulnerabilities during a security test?,C,"Yes, if you use the right tools","Yes, if you are a certified expert",No, because so many known and unknown vulnerabilities exist,No, because clients won't let you see everything
"Regarding security vulnerabilities, which of the following is true?",B,100 percent, ironclad security is attainable,Maintaining 100 percent security is not attainable,One test is enough to eliminate all risks,Patching and hardening systems is useless
Why must ethical hacking tests be performed periodically?,B,To charge the client more money,Because new threats and vulnerabilities surface continually,Software never changes,To practice using new tools
What does a ""good ethical hacker"" know?,B,Everything about information security,Their limitations and where to get answers,Only how to use one specific tool,How to bypass the law
How should an ethical hacker view the target network?,B,From a manager's viewpoint,From a hacker's viewpoint,Only from the internal network,From a non-technical perspective
Which systems should an ethical hacker focus on?,C,Standalone desktops with no network card,The most expensive hardware,Systems and operations that matter most,Only the oldest systems
What is a risk of ""pounding production systems"" at the wrong time?,B,It might improve system performance,It could take down critical systems at the worst moment,Managers will be impressed by the speed,It saves the company money
"If you outsource security testing, what is your responsibility?",A,To stay involved throughout the entire process,To hand over everything and forget about it,To never talk to the third party,To do the work yourself instead
Which term is defined as ""a test evaluating the strengths of all security controls""?,C,Port Scanning,Social Engineering,Penetration Test,Intelligence Gathering
Which compliance standard requires organizations to perform penetration tests at least once a year?,B,HIPAA,PCI-DSS,CEH,GPEN
Which viewpoint simulates threats originating from within the trusted network environment?,B,External Attacker,Internal/Malicious Employee,Overt Testing,Reconnaissance
What is an advantage of ""Overt Penetration Testing""?,B,It tests active incident response,Access to insider organizational knowledge,It is the most realistic simulation,It is performed without the IT team's knowledge
What is a disadvantage of ""Covert Penetration Testing""?,B,It provides full access without blocks,It is costly and time-consuming,It does not test incident response,It uses too many tools
What is the purpose of the ""Reconnaissance"" phase?,B,To exploit vulnerabilities,To discover as much information about a target as possible without network contact,To write the final report,To crash the target's server
Which tool is used for discovering organization info via WHOIS?,C,Nmap,Nessus,whois,Medusa
What is the purpose of ""Network Enumeration and Scanning""?,B,To steal credit card data,"To discover existing networks, live hosts, and services",To encrypt the final report,To hire a hacker
Which command is used in Nmap to perform a scan?,C,ifconfig -a,apt-get update,nmap -sS [IP address],whois target_domain
Which tool is primarily used for ""Remote vulnerability scanning""?,B,HTTrack,Nessus,Google Search,theHarvester
"In the reporting phase, vulnerabilities should be:",B,Listed alphabetically,Prioritized,Hidden from the manager,Written in highly technical jargon
"When e-mailing the final report, what must you do?",B,Use a public cloud link,Encrypt all attachments,Send it to the entire company,Keep it in plain text
What should be removed from the final report to prevent malicious use by others?,C,The dates of testing,Recommendations for improvement,Specific tools used and actual testing steps,The summary of vulnerabilities
Which certification is specifically mentioned as one for penetration testers?,B,Microsoft Word Expert,Certified Ethical Hacker (CEH),Adobe Certified Professional,PMP
Which tool is used for ""Discovering and Leveraging E-mail Addresses""?,A,theHarvester,Wireshark,Netcat,Cain & Abel
Which command is used to bring a network interface ""up"" in Linux?,B,poweroff,ifconfig eth0 up,apt-get install,dig @target_ip
What is the purpose of ""Vulnerability Testing and Exploitation""?,B,To gather contact emails,To check hosts for known vulnerabilities and assess severity,To set up a WHOIS server,To practice typing
"According to Table 16-1, ""Sensitive information stored on an unencrypted laptop"" is considered:",A,High Likelihood / High Impact,Low Likelihood / Low Impact,Medium Likelihood / High Impact,High Likelihood / Low Impact
Which phase involves organizing information by hosts, services, and identified hazards?,C,Exploitation,Reconnaissance,Reporting,Scanning
What mindset must organizations employ to survive modern threats?,B,A defensive-only mindset,A hacker mindset,A bureaucratic mindset,A profit-only mindset
"In MITRE ATT&CK, what term describes what an attacker wants to achieve?",C,Procedure,Technique,Tactic,ID
What is the primary purpose of a Fake WAP (Fake Wireless Access Point)?,B,Increase network bandwidth,Conduct Man-in-the-Middle (MITM) attacks or steal credentials,Encrypt user data,Improve server performance
Which MITRE Technique ID corresponds to Phishing?,C,T1040,T1190,T1566,T1078
An attacker uses credentials leaked from one website to attempt logins on other platforms. What type of attack is this?,B,SQL Injection,Credential Reuse,Browser Hijacker,Bait and Switch
SQL Injection primarily exploits which weakness?,C,Unstable network connections,Weak user passwords,Failure to properly validate or sanitize input data,Too many browser plugins
Which measure is most appropriate for preventing Session Hijacking?,A,Use HTTPS and HttpOnly Cookies,Install an ad blocker,Download software only from official websites,Change desktop wallpapers regularly
"In the MITRE ATT&CK framework, what describes what an attacker specifically did in a real-world case?",C,Tactic,Technique,Procedure,Mitigation
Fake WAP attacks are most likely to occur in which environment?,B,Private home offices,Public places such as airports and coffee shops,Inside data centers,Offline environments
Which tool is commonly used to create a Fake WAP for testing or attacks?,B,SQLmap,WiFi-Pumpkin,Wireshark,Metasploit
How does a Bait and Switch attack typically work?,B,Directly brute-force passwords,"Display a legitimate link first, then redirect users to malicious content",Steal session cookies,Attack a database backend
Which is a recommended defense against SQL Injection?,B,Use a VPN,Use Parameterized Queries,Enable MFA,Review email logs
"When an attacker positions themselves between two communicating parties to sniff or modify data, what is this called in MITRE?",A,Adversary-in-the-Middle (T1557),Valid Accounts,Phishing,Boot or Logon Initialization
What is a common symptom of a Browser Hijacker?,B,The computer shuts down automatically,The homepage or search engine is changed to a malicious website,Hard drive data is encrypted,Screen resolution decreases
"In MITRE ATT&CK, Initial Access belongs to which category?",C,Technique,Procedure,Tactic,Mitigation
