ID,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
9,Multiple Choice,"What is the most critical ""deadly mistake"" an ethical hacker can make before starting a test?",Not using Linux,Not getting prior approval in writing,Using free tools,Not knowing how to code,B
10,Multiple Choice,"When obtaining documented approval, what must be included?",A list of all passwords,The hacker's home address,"The plan, schedule, and systems to test",A guarantee to find all vulnerabilities,C
11,Multiple Choice,"Is it possible to find all vulnerabilities during a security test?","Yes, if you use the right tools","Yes, if you are a certified expert","No, because so many known and unknown vulnerabilities exist","No, because clients won't let you see everything",C
12,Multiple Choice,"Regarding security vulnerabilities, which of the following is true?","100 percent, ironclad security is attainable",Maintaining 100 percent security is not attainable,One test is enough to eliminate all risks,Patching and hardening systems is useless,B
13,Multiple Choice,Why must ethical hacking tests be performed periodically?,To charge the client more money,Because new threats and vulnerabilities surface continually,Because software never changes,To practice using new tools,B
14,Multiple Choice,What does a ""good ethical hacker"" know?,Everything about information security,Their limitations and where to get answers,Only how to use one specific tool,How to bypass the law,B
15,Multiple Choice,How should an ethical hacker view the target network?,From a manager's viewpoint,From a hacker's viewpoint,Only from the internal network,From a non-technical perspective,B
16,Multiple Choice,Which systems should an ethical hacker focus on?,Standalone desktops with no network card,The most expensive hardware,Systems and operations that matter most,Only the oldest systems,C
17,Multiple Choice,What is a risk of ""pounding production systems"" at the wrong time?,It might improve system performance,It could take down critical systems at the worst moment,Managers will be impressed by the speed,It saves the company money,B
18,Multiple Choice,"If you outsource security testing, what is your responsibility?",To stay involved throughout the entire process,To hand over everything and forget about it,To never talk to the third party,To do the work yourself instead,A
19,Multiple Choice,Which term is defined as ""a test evaluating the strengths of all security controls""?,Port Scanning,Social Engineering,Penetration Test,Intelligence Gathering,C
20,Multiple Choice,Which compliance standard requires organizations to perform penetration tests at least once a year?,HIPAA,PCI-DSS,CEH,GPEN,B
21,Multiple Choice,Which viewpoint simulates threats originating from within the trusted network environment?,External Attacker,Internal/Malicious Employee,Overt Testing,Reconnaissance,B
22,Multiple Choice,What is an advantage of ""Overt Penetration Testing""?,It tests active incident response,Access to insider organizational knowledge,It is the most realistic simulation,It is performed without the IT team's knowledge,B
23,Multiple Choice,What is a disadvantage of ""Covert Penetration Testing""?,It provides full access without blocks,It is costly and time-consuming,It does not test incident response,It uses too many tools,B
24,Multiple Choice,What is the purpose of the ""Reconnaissance"" phase?,To exploit vulnerabilities,To discover as much information about a target as possible without network contact,To write the final report,To crash the target's server,B
25,Multiple Choice,Which tool is used for discovering organization info via WHOIS?,Nmap,Nessus,whois,Medusa,C
26,Multiple Choice,What is the purpose of ""Network Enumeration and Scanning""?,To steal credit card data,"To discover existing networks, live hosts, and services",To encrypt the final report,To hire a hacker,B
27,Multiple Choice,Which command is used in Nmap to perform a scan?,ifconfig -a,apt-get update,nmap -sS [IP address],whois target_domain,C
28,Multiple Choice,Which tool is primarily used for ""Remote vulnerability scanning""?,HTTrack,Nessus,Google Search,theHarvester,B
29,Multiple Choice,"In the reporting phase, vulnerabilities should be:",Listed alphabetically,Prioritized,Hidden from the manager,Written in highly technical jargon,B
30,Multiple Choice,"When e-mailing the final report, what must you do?",Use a public cloud link,Encrypt all attachments,Send it to the entire company,Keep it in plain text,B
31,Multiple Choice,What should be removed from the final report to prevent malicious use by others?,The dates of testing,Recommendations for improvement,Specific tools used and actual testing steps,The summary of vulnerabilities,C
32,Multiple Choice,Which certification is specifically mentioned as one for penetration testers?,Microsoft Word Expert,Certified Ethical Hacker (CEH),Adobe Certified Professional,PMP,B
33,Multiple Choice,Which tool is used for ""Discovering and Leveraging E-mail Addresses""?,theHarvester,Wireshark,Netcat,Cain & Abel,A
34,Multiple Choice,Which command is used to bring a network interface ""up"" in Linux?,poweroff,ifconfig eth0 up,apt-get install,dig @target_ip,B
35,Multiple Choice,What is the purpose of ""Vulnerability Testing and Exploitation""?,To gather contact emails,To check hosts for known vulnerabilities and assess severity,To set up a WHOIS server,To practice typing,B
36,Multiple Choice,"According to Table 16-1, ""Sensitive information stored on an unencrypted laptop"" is considered:",High Likelihood / High Impact,Low Likelihood / Low Impact,Medium Likelihood / High Impact,High Likelihood / Low Impact,A
37,Multiple Choice,"Which phase involves organizing information by hosts, services, and identified hazards?",Exploitation,Reconnaissance,Reporting,Scanning,C
38,Multiple Choice,What mindset must organizations employ to survive modern threats?,A defensive-only mindset,A hacker mindset,A bureaucratic mindset,A profit-only mindset,B
39,Multiple Choice,"In MITRE ATT&CK, what term describes what an attacker wants to achieve?",Procedure,Technique,Tactic,ID,C
40,Multiple Choice,What is the primary purpose of a Fake WAP (Fake Wireless Access Point)?,Increase network bandwidth,Conduct Man-in-the-Middle (MITM) attacks or steal credentials,Encrypt user data,Improve server performance,B
41,Multiple Choice,Which MITRE Technique ID corresponds to Phishing?,T1040,T1190,T1566,T1078,C
42,Multiple Choice,An attacker uses credentials leaked from one website to attempt logins on other platforms. What type of attack is this?,SQL Injection,Credential Reuse,Browser Hijacker,Bait and Switch,B
43,Multiple Choice,SQL Injection primarily exploits which weakness?,Unstable network connections,Weak user passwords,Failure to properly validate or sanitize input data,Too many browser plugins,C
44,Multiple Choice,Which measure is most appropriate for preventing Session Hijacking?,Use HTTPS and HttpOnly Cookies,Install an ad blocker,Download software only from official websites,Change desktop wallpapers regularly,A
45,Multiple Choice,"In the MITRE ATT&CK framework, what describes what an attacker specifically did in a real-world case?",Tactic,Technique,Procedure,Mitigation,C
46,Multiple Choice,Fake WAP attacks are most likely to occur in which environment?,Private home offices,Public places such as airports and coffee shops,Inside data centers,Offline environments,B
47,Multiple Choice,Which tool is commonly used to create a Fake WAP for testing or attacks?,SQLmap,WiFi-Pumpkin,Wireshark,Metasploit,B
48,Multiple Choice,How does a Bait and Switch attack typically work?,Directly brute-force passwords,"Display a legitimate link first, then redirect users to malicious content",Steal session cookies,Attack a database backend,B
49,Multiple Choice,Which is a recommended defense against SQL Injection?,Use a VPN,Use Parameterized Queries,Enable MFA,Review email logs,B
