id,question,options,answer,topic
Q0,"What is the most critical ""deadly mistake"" an ethical hacker can make before starting a test?","[""Not using Linux"", ""Not getting prior approval in writing"", ""Using free tools"", ""Not knowing how to code""]",2,道德駭客基礎與法規
Q1,"When obtaining documented approval, what must be included?","[""A list of all passwords"", ""The hacker's home address"", ""The plan, schedule, and systems to test"", ""A guarantee to find all vulnerabilities""]",3,道德駭客基礎與法規
Q2,SQL Injection can be used to bypass login pages and read or delete database records,"[""True"", ""False""]",1,SQL 注入與防禦
Q3,Which Aircrack-ng tool is used to enable monitor mode on wireless interfaces?,"[""Aircrack-ng"", ""Airmon-ng"", ""Airodump-ng"", ""Aireplay-ng""]",2,常考 MITRE 技術與資安工具
Q4,SQL injection only involves inserting LDAP statements into user forms.,"[""True"", ""False""]",2,OWASP 網頁弱點與防禦
Q5,Which tool is used to decrypt WEP/WPA packets and strip wireless headers?,"[""Airtun-ng"", ""Easside-ng"", ""Airdecap-ng"", ""Airgraph-ng""]",3,常考 MITRE 技術與資安工具
Q6,The KNOB attack exploits a vulnerability in Bluetooth to perform:,"[""Denial of Service"", ""Eavesdropping on shared data"", ""Remote control"", ""MAC spoofing""]",2,藍牙安全性與漏洞
Q7,Which Bluetooth mode rejects every pairing request?,"[""Discoverable"", ""Non-pairable"", ""Pairable"", ""Limited discoverable""]",2,藍牙安全性與漏洞
Q8,What is the primary purpose of the MITRE ATT&CK framework?,"[""Transform unstructured security incidents into structured attack behavior analysis"", ""Used only for data backup"", ""Replace all firewalls"", ""Specifically for software development""]",1,MITRE ATT&CK 框架
Q9,What is a best practice for wireless configuration regarding SSID?,"[""Broadcast the SSID"", ""Use SSID hiding (cloaking)"", ""Keep the default SSID"", ""Use the SSID as a password""]",2,Wi-Fi 安全與加密協定
Q10,Where should a firewall be placed for wireless security?,"[""Behind the database"", ""Between the AP and the corporate intranet"", ""On the user's laptop"", ""Outside the physical machine room""]",2,Wi-Fi 安全與加密協定
Q11,"Which tool is a """"centralized authentication and authorization management system""""?","[""RADIUS"", ""Burp Suite"", ""WiMax"", ""Sn1per""]",1,常考 MITRE 技術與資安工具
Q12,"In the Samson scenario, which vulnerability process was compromised?","[""SQL query validation"", ""WPA2 four-way handshake"", ""Bluetooth pairing"", ""Error message handling""]",2,無線網路稽核與工具
Q13,Adversary-in-the-Middle describes an attacker positioning themselves between two communicating parties.,"[""True"", ""False""]",1,假無線 AP 與中間人攻擊
Q14,"If you outsource security testing, what is your responsibility?","[""To stay involved throughout the entire process"", ""To hand over everything and forget about it"", ""To never talk to the third party"", ""To do the work yourself instead""]",1,道德駭客基礎與法規
Q15,Which Aircrack-ng tool creates a client-to-AP relationship graph?,"[""Airbase-ng"", ""Airgraph-ng"", ""Airtun-ng"", ""Packetforge-ng""]",2,常考 MITRE 技術與資安工具
Q16,"What does ""MIMO-OFDM"" stand for in terms of application?","[""2G communications"", ""4G and 5G broadband wireless"", ""Wired LAN security"", ""Bluetooth middleware""]",2,無線網路稽核與工具
Q17,"Broken Authentication functions include logout, timeouts, and password management.","[""True"", ""False""]",1,OWASP 網頁弱點與防禦
Q18,Which Bluetooth threat involves terrorists sending false bomb threats?,"[""Leakage of calendars"", ""Sending SMS messages"", ""Bugging devices"", ""Causing financial losses""]",2,藍牙安全性與漏洞
Q19,"To prevent web application attacks, non-SSL requests should be:","[""Dropped"", ""Redirected to the SSL page"", ""Logged but allowed"", ""Handled by Layer 3""]",2,OWASP 網頁弱點與防禦
Q20,Which attack belongs to the category of Social Engineering?,"[""MAC Spoofing"", ""Watering Hole Attack"", ""ARP Spoofing"", ""DoS""]",2,OWASP 網頁弱點與防禦
Q21,Which is NOT an injection type mentioned in the sources?,"[""Command injection"", ""LDAP injection"", ""SQL injection"", ""CSS injection""]",4,OWASP 網頁弱點與防禦
Q22,Which wireless term describes the process of connecting a device to an AP?,"[""Authentication"", ""Association"", ""Modulation"", ""Sniffing""]",2,Wi-Fi 安全與加密協定
Q23,What is the character limit for an SSID?,"[""16"", ""32"", ""64"", ""128""]",2,Wi-Fi 安全與加密協定
Q24,Initial Access is the first Tactic used by attackers to enter a network.,"[""True"", ""False""]",1,MITRE ATT&CK 框架
Q25,Which vulnerability can lead to remote code execution and DoS via internal files?,"[""A4 – XXE"", ""A1 – Injection"", ""A2 – Broken Authentication"", ""A9 – Vulnerable components""]",1,OWASP 網頁弱點與防禦
Q26,Which tool is used for automated scanning in web security?,"[""Burp Suite"", ""OWASP Zed Attack Proxy"", ""Nikto"", ""Metasploit""]",2,常考 MITRE 技術與資安工具
Q27,"To secure a database, testing teams should avoid constructing dynamic SQL with:","[""Prepared statements"", ""Concatenated input values"", ""Stored procedures"", ""Multi-layer validation""]",2,OWASP 網頁弱點與防禦
Q28,"Which of the following application security risks occurs when untrusted data is sent to an interpreter as part of a command or query, according to the OWASP?","[""A6 – security misconfiguration"", ""A3 – Sensitive data exposure"", ""A1 – injection"", ""A4 – XML external entity (XXE)""]",3,OWASP 網頁弱點與防禦
Q29,"100 percent, ironclad security is easily attainable if you have a large budget.","[""True"", ""False""]",2,道德駭客基礎與法規
Q30,Insufficient transport layer protection supports weak algorithms and expired certificates.,"[""True"", ""False""]",1,OWASP 網頁弱點與防禦
Q31,Most web applications run libraries and frameworks with minimum privileges.,"[""True"", ""False""]",2,OWASP 網頁弱點與防禦
Q32,"What does a """"good ethical hacker"""" know?","[""Everything about information security"", ""Their limitations and where to get answers"", ""Only how to use one specific tool"", ""How to bypass the law""]",2,道德駭客基礎與法規
Q33,Attackers often tamper with web application logs to hide their identities.,"[""True"", ""False""]",1,OWASP 網頁弱點與防禦
Q34,Burp Suite can find and exploit security vulnerabilities in web applications.,"[""True"", ""False""]",1,常考 MITRE 技術與資安工具
Q35,Identify the type of SQL injection technique used by the attacker when they cannot directly exploit any other techniques.,"[""In-band SQL injection"", ""Error-based SQL injection"", ""Blind SQL injection"", ""Out-of-band SQL injection""]",3,OWASP 網頁弱點與防禦
Q36,"Which term is defined as """"a test evaluating the strengths of all security controls""""?","[""Port Scanning"", ""Social Engineering"", ""Penetration Test"", ""Intelligence Gathering""]",3,滲透測試方法論
Q37,Session data should be submitted as part of a GET or POST request for security.,"[""True"", ""False""]",2,OWASP 網頁弱點與防禦
Q38,Setup roles and accounts should include disabling all default accounts.,"[""True"", ""False""]",1,OWASP 網頁弱點與防禦
Q39,Storing website files on the OS drive is a recommended security countermeasure.,"[""True"", ""False""]",2,OWASP 網頁弱點與防禦
Q40,DSSS spreads a signal over a wider frequency band to protect against interference.,"[""True"", ""False""]",1,頻譜與寬頻無線技術
Q41,Which viewpoint simulates threats originating from within the trusted network environment?,"[""External Attacker"", ""Internal/Malicious Employee"", ""Overt Testing"", ""Reconnaissance""]",2,滲透測試方法論
Q42,IEEE 802.16 is also known as WiMax.,"[""True"", ""False""]",1,頻譜與寬頻無線技術
Q43,WEP is more secure than WPA2 because it uses a 24-bit IV.,"[""True"", ""False""]",2,Wi-Fi 安全與加密協定
Q44,"Which of the following security risks can disclose internal files using the file URI handler, remote code execution, and DoS attacks such as the billion laughs attack?","[""XML external entity (XXE)"", ""Command injection"", ""Broken authentication"", ""Cross-site scripting (XSS)""]",1,OWASP 網頁弱點與防禦
Q45,AES is a symmetric-key encryption used in WPA2.,"[""True"", ""False""]",1,Wi-Fi 安全與加密協定
Q46,Airbase-ng is a tool specifically designed to repair SQL databases.,"[""True"", ""False""]",2,常考 MITRE 技術與資安工具
Q47,WPA3 uses GCMP-256 for encryption and HMAC-SHA-384 for authentication.,"[""True"", ""False""]",1,Wi-Fi 安全與加密協定
Q48,Bluetooth hacking refers to exploiting the physical layer hardware only.,"[""True"", ""False""]",2,藍牙安全性與漏洞
Q49,Which protocol encapsulates EAP within a TLS tunnel?,"[""LEAP"", ""PEAP"", ""WEP"", ""TKIP""]",2,Wi-Fi 安全與加密協定
Q50,Bluesmacking is a DoS attack that overflows devices with random packets.,"[""True"", ""False""]",1,藍牙安全性與漏洞
Q51,Non-discoverable Bluetooth mode does not mean it is 100% immune to attacks.,"[""True"", ""False""]",1,藍牙安全性與漏洞
Q52,Bluetooth should be kept in the enabled state at all times for maximum security.,"[""True"", ""False""]",2,藍牙安全性與漏洞
Q53,SSID broadcasting is considered a misconfiguration that allows SSID theft.,"[""True"", ""False""]",1,Wi-Fi 安全與加密協定
Q54,Airmon-ng is used to capture WPA/WPA2 handshakes.,"[""True"", ""False""]",1,常考 MITRE 技術與資安工具
Q55,"What is an advantage of """"Overt Penetration Testing""""?","[""It tests active incident response"", ""Access to insider organizational knowledge"", ""It is the most realistic simulation"", ""It is performed without the IT team's knowledge""]",2,滲透測試方法論
Q56,Which of the following practices is NOT a countermeasure to defend against web server attacks?,"[""Physically protect the machine"", ""Install IIS server on a domain controller"", ""Store website files on a separate drive"", ""Screen and filter incoming traffic""]",2,OWASP 網頁弱點與防禦
